x1;y1;z1
-24,7396;-69,0371;300,862
-35,0098;-70,0076;295,574
-45,6138;-68,871;288,136
-52,2237;-84,4859;273,963
-56,9106;-82,7227;277,107
-57,8341;-83,5586;278,97
-64,0883;-88,1171;277,448
-78,1303;-62,8119;271,138
-78,1994;-48,7985;274,792
-97,0868;-18,2597;282,302
-96,939;-19,8252;281,696
-97,2958;-21,4282;283,564
-104,962;-19,8138;284,9
-107,48;-18,7129;287,442
-109,114;-19,1527;286,935
-124,297;-16,5547;287,586
-126,188;-16,7246;288,315
-138,798;-29,5996;296,678
-161,331;-25,5288;300,907
-159,802;-26,8635;300,777
-160,971;-27,3658;301,341
-166,591;-27,4169;305,515
-167,027;-26,7097;306,165
-166,706;-26,6295;305,814
-165,459;-27,4312;306,374
-164,888;-28,2267;306,188
-165,348;-28,0681;305,717
-173,492;-38,995;310,704
-175,689;-38,0974;310,408
-175,608;-37,2716;303,142
-171,163;-67,8604;304,446
-169,883;-82,1936;304,381
-169,685;-82,3565;304,011
-190,549;-40,8401;297,955
-188,168;-39,0972;296,158
-187,115;-35,6552;293,806
-184,036;-35,485;293,056
-182,535;8,09308;290,247
-178,666;59,8498;292,095
-153,35;53,8944;289,226
-87,2598;74,1171;280,227
-91,8553;73,9056;263,795
-96,0934;79,5663;260,34
-101,177;85,0618;256,562
-100,772;88,7262;256,725
-97,8083;91,298;254,194
-99,3547;102,865;252,036
-98,4233;108,477;251,226
-97,1156;110,795;246,959
-90,7395;116,202;255,006
-73,9201;113,552;255,556
-79,8916;120,485;255,833
-79,2877;122,895;257,943
-70,7286;122,908;260,402
-61,8664;120,924;255,379
-59,5338;119,71;256,841
-52,7113;117,038;258,837
48,1791;107,523;273,406
31,9755;-99,793;294,625
24,9947;-111,148;311,042
18,7709;-127,901;305,403
10,4628;-125,752;286,872
8,47031;-120,859;279,955
18,0471;-117,702;259,192
57,4964;79,3717;250,099
76,9859;113,768;223,567
67,5078;126,261;205,139
73,4472;135,3;225,278
85,5586;126,609;256,678
93,5516;123,331;257,98
97,5736;120,086;256,376
112,298;107,933;281,946
106,631;104,396;274,558
104,534;106,154;273,394
105,553;106,254;275,417
104,096;108,534;273,95
105,216;108;274,495
105,222;108,416;276,084
98,3982;113,787;279,456
90,8619;122,702;274,908
87,8982;132,177;266,783
84,1941;135,557;260,638
80,5724;143,089;249,578
57,4385;165,081;242,026
53,2699;165,868;260,708
56,3847;162,656;267,876
58,4417;158,159;268,788
60,1867;150,572;266,177
61,3641;154,813;247,59
66,4132;153,403;318,743
63,2125;151,539;324,886
61,2526;133,565;332,068
88,942;97,1095;324,98
77,4526;56,3787;327,364
80,4826;16,6073;332,905
57,2952;-49,1255;332,847
53,4339;-54,5722;337,622
36,2799;-68,9714;333,824
39,4909;-134,473;341,114
42,2267;-129,388;337,884
-143,335;-46,7396;286,176
-146,073;-34,0216;291,935
-150,839;-34,0032;293,108
-154,711;-35,6832;295,077
-94,3463;-42,2594;287,013
-86,298;-42,4663;283,707
-86,3315;-42,8462;280,137
-87,4578;-40,8919;276,968
-90,524;-38,0009;277,742
-92,6086;-35,9635;282,729
-91,3812;-38,8309;287,741
-91,3695;-61,1936;301,832
-93,8832;-69,9057;302,958
-97,9266;-74,8377;303,661
-102,01;-73,1774;304,146
-108,24;-70,6624;305,437
-113,928;-71,9833;308,462
-117,779;-73,8388;310,156
-123,751;-77,7015;311,448
-127,38;-84,7166;312,72
-133,974;-88,7464;313,591
-111,334;-16,0267;274,475
-72,3236;85,9485;226,062
-67,5038;108,911;220,114
-68,172;145,558;230,46
-127,045;-41,8248;345,953
-129,681;-41,1523;346,193
-141,641;-43,1268;338,719
-135,522;-57,6941;321,921
-133,281;-56,9927;323,863
-68,3965;-77,1185;324,558
-72,2282;-72,1539;328,207
-105,169;-33,7792;323,825
